Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,582,Human Resources,7,4,Human Resources,1,1,2,Female,41,2,3,Research Director,4,Divorced,18813,18905,6,Y,Yes,18,3,3,80,0,8,3,3,18,1,15,15
46,No,Travel_Rarely,1008,Human Resources,13,2,Human Resources,1,2,1,Male,74,4,3,Sales Representative,3,Single,10631,19632,0,Y,No,19,4,1,80,3,13,1,2,39,15,14,7
32,No,Travel_Frequently,1234,Research & Development,2,2,Human Resources,1,3,2,Male,46,3,2,Manufacturing Director,3,Married,6507,15349,2,Y,No,18,4,3,80,2,36,6,4,33,17,14,2
25,Yes,Travel_Rarely,965,Sales,8,2,Technical Degree,1,4,2,Male,64,3,3,Sales Executive,2,Single,2527,3002,5,Y,No,25,3,3,80,1,26,6,2,3,17,2,13
38,No,Travel_Rarely,238,Human Resources,7,2,Life Sciences,1,5,2,Male,95,2,2,Sales Executive,4,Married,4996,8266,5,Y,No,13,3,3,80,0,31,2,2,32,5,9,10
56,No,Travel_Frequently,1095,Research & Development,24,5,Marketing,1,6,2,Female,70,1,2,Manufacturing Director,1,Single,5467,24828,6,Y,No,19,4,1,80,0,3,1,2,36,17,6,11
36,No,Travel_Frequently,534,Sales,12,2,Life Sciences,1,7,2,Female,96,3,5,Healthcare Representative,1,Married,19745,13330,0,Y,Yes,13,3,2,80,2,1,5,2,1,10,12,10
40,No,Travel_Frequently,608,Sales,19,4,Technical Degree,1,8,4,Female,58,1,2,Sales Representative,1,Divorced,16772,16980,6,Y,No,18,4,4,80,1,32,0,2,26,6,11,10
28,No,Travel_Rarely,372,Human Resources,7,5,Medical,1,9,2,Female,47,3,2,Manufacturing Director,3,Married,2703,9017,1,Y,Yes,20,3,2,80,3,20,5,4,16,13,5,17
28,No,Non-Travel,1222,Sales,10,2,Life Sciences,1,10,3,Male,49,4,3,Sales Executive,4,Single,2662,10585,5,Y,Yes,19,4,3,80,3,0,6,1,30,17,5,9
41,No,Non-Travel,203,Human Resources,29,1,Human Resources,1,11,1,Female,43,2,2,Sales Representative,2,Married,11114,18011,7,Y,No,17,3,2,80,1,10,6,2,5,6,6,15
53,No,Travel_Frequently,1337,Sales,25,3,Marketing,1,12,4,Male,63,1,4,Research Scientist,1,Single,8256,20001,4,Y,Yes,14,3,3,80,1,0,3,3,30,9,7,7
57,No,Non-Travel,861,Research & Development,16,3,Marketing,1,13,4,Male,78,1,3,Research Scientist,4,Single,10367,19044,9,Y,No,20,3,1,80,2,10,3,4,2,7,2,5
41,No,Travel_Frequently,886,Human Resources,3,3,Medical,1,14,2,Female,83,4,1,Research Director,1,Single,15460,7524,2,Y,No,25,3,1,80,3,6,3,2,39,13,2,12
20,No,Travel_Rarely,264,Human Resources,10,5,Life Sciences,1,15,1,Male,60,3,3,Healthcare Representative,2,Divorced,7297,7250,7,Y,No,19,4,1,80,2,1,6,3,2,17,9,14
39,No,Non-Travel,1098,Sales,6,2,Technical Degree,1,16,3,Female,87,1,2,Research Scientist,4,Married,10573,9512,7,Y,Yes,13,4,3,80,3,14,1,2,32,4,12,12
19,Yes,Travel_Rarely,619,Sales,18,5,Medical,1,17,2,Female,71,3,4,Healthcare Representative,3,Single,17582,2319,3,Y,No,25,3,2,80,3,7,4,1,12,13,7,0
41,Yes,Non-Travel,1407,Human Resources,18,4,Life Sciences,1,18,1,Female,87,4,3,Research Director,3,Divorced,7378,12416,7,Y,Yes,13,4,4,80,1,25,1,4,20,9,15,1
